,ISOF,ISOF_minmax,ISOF_stand,GMM,GMM_minmax,GMM_stand,BRM_euc,BRM_euc_minmax,BRM_euc_stand,BRM_cos,BRM_cos_minmax,BRM_cos_stand,BRM_man,BRM_man_minmax,BRM_man_stand,ocSVM
ecoli-0-1-4-7_vs_5-6,0.6903225806451613,0.6645161290322581,0.6967741935483871,0.7193548387096774,0.7354838709677419,0.767741935483871,0.7225806451612904,0.7419354838709677,0.7741935483870968,0.6387096774193548,0.6419354838709677,0.6709677419354839,0.7516129032258064,0.7516129032258065,0.7451612903225806,0.7145161290322581
yeast-0-2-5-7-9_vs_3-6-8,0.7660220994475138,0.7776243093922652,0.8091160220994476,0.6842541436464088,0.7011049723756906,0.6198895027624309,0.7140883977900553,0.711049723756906,0.7088397790055249,0.6273480662983425,0.5348066298342541,0.6549723756906077,0.6817679558011049,0.6919889502762431,0.712707182320442,0.7823204419889502
ecoli-0-1_vs_5,0.6988636363636364,0.7784090909090908,0.7215909090909091,0.8295454545454546,0.7556818181818181,0.7215909090909092,0.7102272727272727,0.7215909090909091,0.7443181818181819,0.6534090909090909,0.6704545454545454,0.5852272727272727,0.7613636363636364,0.75,0.7215909090909091,0.7954545454545454
yeast-1-2-8-9_vs_7,0.5434782608695653,0.5163043478260869,0.5181159420289855,0.5579710144927537,0.5706521739130435,0.7373188405797102,0.6059782608695652,0.5643115942028986,0.5081521739130435,0.6385869565217391,0.5398550724637681,0.7210144927536232,0.6394927536231884,0.5498188405797102,0.5045289855072463,0.5516304347826086
pimaImb,0.7131481481481481,0.642037037037037,0.717037037037037,0.6022222222222222,0.6446296296296297,0.7227777777777777,0.6609259259259259,0.6116666666666667,0.7353703703703705,0.6253703703703704,0.6799999999999999,0.5370370370370371,0.6498148148148148,0.5914814814814815,0.732037037037037,0.6536111111111111
kr-vs-k-zero_vs_fifteen,1.0,1.0,1.0,0.9553502694380293,1.0,0.8267898383371824,0.7270977675134719,0.7767513471901463,0.9099307159353349,0.7871439568899153,0.770977675134719,0.6720554272517321,0.6963048498845266,0.7082371054657428,0.9476520400307928,0.9919168591224019
glass6,0.8648648648648649,0.9459459459459459,0.8558558558558559,0.8423423423423424,0.9774774774774775,0.8603603603603605,0.7747747747747749,0.8423423423423424,0.8198198198198199,0.7837837837837839,0.6711711711711711,0.5855855855855856,0.7612612612612613,0.8243243243243243,0.8108108108108109,0.8648648648648649
glass1,0.5092592592592593,0.5856481481481481,0.5092592592592593,0.5740740740740741,0.5763888888888888,0.6180555555555556,0.5046296296296297,0.5439814814814815,0.513888888888889,0.5115740740740741,0.5925925925925926,0.6574074074074074,0.5324074074074074,0.5,0.5162037037037037,0.5949074074074074
glass-0-1-2-3_vs_4-5-6,0.8977272727272727,0.7556818181818182,0.8778409090909091,0.8551136363636364,0.6193181818181818,0.9289772727272727,0.8352272727272727,0.5340909090909091,0.7954545454545454,0.8011363636363636,0.5454545454545454,0.5255681818181818,0.7897727272727273,0.5568181818181818,0.8039772727272727,0.8607954545454546
new-thyroid1,0.7777777777777778,0.75,0.8650793650793651,0.6111111111111112,0.5357142857142856,0.8095238095238095,0.6547619047619048,0.753968253968254,0.7817460317460317,0.6865079365079365,0.7063492063492064,0.8174603174603174,0.6428571428571428,0.7301587301587302,0.7738095238095238,0.626984126984127
